**MINIMIZED DFA TRANSITION TABLE**
No.Of States: 90
from 17  on getting 114 to 48
from 17  on getting 115 to 49
from 17  on getting 116 to 49
from 17  on getting 117 to 50
from 17  on getting 118 to 50
from 17  on getting 119 to 51
from 17  on getting 120 to 51
from 17  on getting 121 to 52
from 17  on getting 122 to 52
from 17  on getting 123 to 53
from 17  on getting 125 to 54
from 24  on getting 61 to 56
from 25  on getting 61 to 57
from 26  on getting 61 to 58
from 27  on getting 48 to 59
from 27  on getting 49 to 59
from 27  on getting 50 to 60
from 27  on getting 51 to 60
from 27  on getting 52 to 61
from 27  on getting 53 to 61
from 27  on getting 54 to 62
from 27  on getting 55 to 62
from 27  on getting 56 to 63
from 27  on getting 57 to 63
from 27  on getting 65 to 64
from 27  on getting 66 to 64
from 27  on getting 67 to 65
from 27  on getting 68 to 65
from 27  on getting 69 to 66
from 27  on getting 70 to 66
from 27  on getting 71 to 67
from 27  on getting 72 to 67
from 27  on getting 73 to 68
from 27  on getting 74 to 68
from 27  on getting 75 to 69
from 27  on getting 76 to 69
from 27  on getting 77 to 70
from 27  on getting 78 to 70
from 27  on getting 79 to 71
from 27  on getting 80 to 71
from 27  on getting 81 to 72
from 27  on getting 82 to 72
from 27  on getting 83 to 73
from 27  on getting 84 to 73
from 27  on getting 85 to 74
from 27  on getting 86 to 74
from 27  on getting 87 to 75
from 27  on getting 88 to 75
from 27  on getting 89 to 76
from 27  on getting 90 to 76
from 27  on getting 97 to 77
from 27  on getting 98 to 77
from 27  on getting 99 to 78
from 27  on getting 100 to 78
from 27  on getting 101 to 79
from 27  on getting 102 to 79
from 27  on getting 103 to 80
from 27  on getting 104 to 80
from 27  on getting 105 to 81
from 27  on getting 106 to 81
from 27  on getting 107 to 82
from 27  on getting 108 to 82
from 27  on getting 109 to 83
from 27  on getting 110 to 83
from 27  on getting 111 to 84
from 27  on getting 112 to 84
from 27  on getting 113 to 85
from 27  on getting 114 to 85
from 27  on getting 115 to 86
from 27  on getting 116 to 86
from 27  on getting 117 to 87
from 27  on getting 118 to 87
from 27  on getting 119 to 88
from 27  on getting 120 to 88
from 27  on getting 121 to 89
from 27  on getting 122 to 89
from 28  on getting 48 to 59
from 28  on getting 49 to 59
from 28  on getting 50 to 60
from 28  on getting 51 to 60
from 28  on getting 52 to 61
from 28  on getting 53 to 61
from 28  on getting 54 to 62
from 28  on getting 55 to 62
from 28  on getting 56 to 63
from 28  on getting 57 to 63
from 28  on getting 65 to 64
from 28  on getting 66 to 64
from 28  on getting 67 to 65
from 28  on getting 68 to 65
from 28  on getting 69 to 66
from 28  on getting 70 to 66
from 28  on getting 71 to 67
from 28  on getting 72 to 67
from 28  on getting 73 to 68
from 28  on getting 74 to 68
from 28  on getting 75 to 69
from 28  on getting 76 to 69
from 28  on getting 77 to 70
from 28  on getting 78 to 70
from 28  on getting 79 to 71
from 28  on getting 80 to 71
from 28  on getting 81 to 72
from 28  on getting 82 to 72
from 28  on getting 83 to 73
from 28  on getting 84 to 73
from 28  on getting 85 to 74
from 28  on getting 86 to 74
from 28  on getting 87 to 75
from 28  on getting 88 to 75
from 28  on getting 89 to 76
from 28  on getting 90 to 76
from 28  on getting 97 to 77
from 28  on getting 98 to 77
from 28  on getting 99 to 78
from 28  on getting 100 to 78
from 28  on getting 101 to 79
from 28  on getting 102 to 79
from 28  on getting 103 to 80
from 28  on getting 104 to 80
from 28  on getting 105 to 81
from 28  on getting 106 to 81
from 28  on getting 107 to 82
from 28  on getting 108 to 82
from 28  on getting 109 to 83
from 28  on getting 110 to 83
from 28  on getting 111 to 84
from 28  on getting 112 to 84
from 28  on getting 113 to 85
from 28  on getting 114 to 85
from 28  on getting 115 to 86
from 28  on getting 116 to 86
from 28  on getting 117 to 87
from 28  on getting 118 to 87
from 28  on getting 119 to 88
from 28  on getting 120 to 88
from 28  on getting 121 to 89
from 28  on getting 122 to 89
from 29  on getting 48 to 59
from 29  on getting 49 to 59
from 29  on getting 50 to 60
from 29  on getting 51 to 60
from 29  on getting 52 to 61
from 29  on getting 53 to 61
from 29  on getting 54 to 62
from 29  on getting 55 to 62
from 29  on getting 56 to 63
from 29  on getting 57 to 63
from 29  on getting 65 to 64
from 29  on getting 66 to 64
from 29  on getting 67 to 65
from 29  on getting 68 to 65
from 29  on getting 69 to 66
from 29  on getting 70 to 66
from 29  on getting 71 to 67
from 29  on getting 72 to 67
from 29  on getting 73 to 68
from 29  on getting 74 to 68
from 29  on getting 75 to 69
from 29  on getting 76 to 69
from 29  on getting 77 to 70
from 29  on getting 78 to 70
from 29  on getting 79 to 71
from 29  on getting 80 to 71
from 29  on getting 81 to 72
from 29  on getting 82 to 72
from 29  on getting 83 to 73
from 29  on getting 84 to 73
from 29  on getting 85 to 74
from 29  on getting 86 to 74
from 29  on getting 87 to 75
from 29  on getting 88 to 75
from 29  on getting 89 to 76
from 29  on getting 90 to 76
from 29  on getting 97 to 77
from 29  on getting 98 to 77
from 29  on getting 99 to 78
from 29  on getting 100 to 78
from 29  on getting 101 to 79
from 29  on getting 102 to 79
from 29  on getting 103 to 80
from 29  on getting 104 to 80
from 29  on getting 105 to 81
from 29  on getting 106 to 81
from 29  on getting 107 to 82
from 29  on getting 108 to 82
from 29  on getting 109 to 83
from 29  on getting 110 to 83
from 29  on getting 111 to 84
from 29  on getting 112 to 84
from 29  on getting 113 to 85
from 29  on getting 114 to 85
from 29  on getting 115 to 86
from 29  on getting 116 to 86
from 29  on getting 117 to 87
from 29  on getting 118 to 87
from 29  on getting 119 to 88
from 29  on getting 120 to 88
from 29  on getting 121 to 89
from 29  on getting 122 to 89
from 30  on getting 48 to 59
from 30  on getting 49 to 59
from 30  on getting 50 to 60
from 30  on getting 51 to 60
from 30  on getting 52 to 61
from 30  on getting 53 to 61
from 30  on getting 54 to 62
from 30  on getting 55 to 62
from 30  on getting 56 to 63
from 30  on getting 57 to 63
from 30  on getting 65 to 64
from 30  on getting 66 to 64
from 30  on getting 67 to 65
from 30  on getting 68 to 65
from 30  on getting 69 to 66
from 30  on getting 70 to 66
from 30  on getting 71 to 67
from 30  on getting 72 to 67
from 30  on getting 73 to 68
from 30  on getting 74 to 68
from 30  on getting 75 to 69
from 30  on getting 76 to 69
from 30  on getting 77 to 70
from 30  on getting 78 to 70
from 30  on getting 79 to 71
from 30  on getting 80 to 71
from 30  on getting 81 to 72
from 30  on getting 82 to 72
from 30  on getting 83 to 73
from 30  on getting 84 to 73
from 30  on getting 85 to 74
from 30  on getting 86 to 74
from 30  on getting 87 to 75
from 30  on getting 88 to 75
from 30  on getting 89 to 76
from 30  on getting 90 to 76
from 30  on getting 97 to 77
from 30  on getting 98 to 77
from 30  on getting 99 to 78
from 30  on getting 100 to 78
from 30  on getting 101 to 79
from 30  on getting 102 to 79
from 30  on getting 103 to 80
from 30  on getting 104 to 80
from 30  on getting 105 to 81
from 30  on getting 106 to 81
from 30  on getting 107 to 82
from 30  on getting 108 to 82
from 30  on getting 109 to 83
from 30  on getting 110 to 83
from 30  on getting 111 to 84
from 30  on getting 112 to 84
from 30  on getting 113 to 85
from 30  on getting 114 to 85
from 30  on getting 115 to 86
from 30  on getting 116 to 86
from 30  on getting 117 to 87
from 30  on getting 118 to 87
from 30  on getting 119 to 88
from 30  on getting 120 to 88
from 30  on getting 121 to 89
from 30  on getting 122 to 89
from 31  on getting 48 to 59
from 31  on getting 49 to 59
from 31  on getting 50 to 60
from 31  on getting 51 to 60
from 31  on getting 52 to 61
from 31  on getting 53 to 61
from 31  on getting 54 to 62
from 31  on getting 55 to 62
from 31  on getting 56 to 63
from 31  on getting 57 to 63
from 31  on getting 65 to 64
from 31  on getting 66 to 64
from 31  on getting 67 to 65
from 31  on getting 68 to 65
from 31  on getting 69 to 66
from 31  on getting 70 to 66
from 31  on getting 71 to 67
from 31  on getting 72 to 67
from 31  on getting 73 to 68
from 31  on getting 74 to 68
from 31  on getting 75 to 69
from 31  on getting 76 to 69
from 31  on getting 77 to 70
from 31  on getting 78 to 70
from 31  on getting 79 to 71
from 31  on getting 80 to 71
from 31  on getting 81 to 72
from 31  on getting 82 to 72
from 31  on getting 83 to 73
from 31  on getting 84 to 73
from 31  on getting 85 to 74
from 31  on getting 86 to 74
from 31  on getting 87 to 75
from 31  on getting 88 to 75
from 31  on getting 89 to 76
from 31  on getting 90 to 76
from 31  on getting 97 to 77
